County,State,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,Total_Cases
Autauga,Alabama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,15.1436897295353,7.47181142881769,3.48577578965948,2.29513585262458,1.82634452753082,1.80950545451406,1.40186007954735,1.29351909078017,0.89165806882122,1.27401710454285,1.28840431836154,1.2447376810768,1.04041947443802,1.04450128693231,0.534847035300808,1.56344569457298,1.18980597647768,1.50415481826134,1.44157979429277,1.3423579630521,1.91451245554068,1.99423356957978,1.08181567989914,1.01334833720002,0.803480929051037,1.08114800580729,1.2411809377452,28
Baldwin,Alabama,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,3.02558292238147,1.70427297725973,2.31044038594351,2.1365143068807,2.4969700483317,2.12681884780606,2.26386891747065,1.54729164594463,3.15091231954579,3.61856776983879,3.04280168503946,2.16978852371647,2.14616877811179,1.8582109437416,1.79179409148392,1.29230231538666,1.1851782452675,1.20323915077664,1.3320562840448,1.42478485205374,1.71594656170942,1.39857263738792,1.50179113983875,1.37932781693574,1.36904049746323,1.43120339271636,1.43700726580877,1.16091275445892,1.12702317700547,1.07654523960441,1.05849319497698,0.952971272965151,117
Bibb,Alabama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,8.68920985154716,3.91061763941371,3.19708228245453,2.38016121521165,1.9066342225807,2.6538519765104,1.62178606606178,1.39236771593354,1.54505300436368,1.6573017761985,1.50986559839744,1.73278556379455,1.56579771983589,1.55241494631723,1.29176469983084,1.33784010626083,1.51244000787891,1.40472092675487,1.40188847260805,1.21873506387899,1.43289759781651,32
Blount,Alabama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,9.08621383772119,8.86900357080295,4.1503936321207,2.52239866111584,1.94814792203914,1.66354561748882,1.24915310713388,1.199013552453,1.1968804102125,1.43433886870993,1.38969970559367,1.32251635773295,1.27615460663896,1.24339903618107,1.21986961993086,0.801843751630986,0.627520043046632,0.939472706804949,1.54779154814472,1.76379789374135,1.81616626448277,1.6060448632181,1.6267193114334,1.48095414685896,1.36265848553248,1.14266198061599,22
Bullock,Alabama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,6.51690738866037,3.36064491168852,2.46389760546962,2.05235421301024,1.82347392207443,1.68247357135211,0.530025747199096,0.586778112841876,0.751660157808855,0.952869856061524,1.19281802108922,1.47122396066826,3.56831717531679,4.99110508667184,3.40875120199458,2.48320550887841,2.06239202830187,3.04903136256427,3.43236126512143,2.11512744213904,1.41147552241916,1.30747157520809,1.53155931802218,1.45704086589329,1.3677230765245,11
Butler,Alabama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,2.01705528158765,0.958450776594573,1.0502978657647,1.30685773704545,1.60068988420982,1.9261312330302,2.27348639084395,5.25977854027204,6.44302346883054,3.85455201190773,2.65105453504816,4.29448557700128,3.5225780673243,2.74366303683401,1.81244963695539,1.97302188879816,1.72114781305743,1.84334499466965,1.17948829941303,1.10476002733152,0.968040173072706,14
Calhoun,Alabama,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,3.61068188129305,2.84960848504645,2.24234122820204,1.28854195561273,1.26344076177752,2.01640017974275,1.9399324227954,1.17036491544048,4.70379200819357,3.39367064577444,2.80832368226443,2.32774808418879,3.01620785597137,2.39573500356836,2.12262043461527,2.36176829387505,2.5227726263605,2.05141533287402,1.69371829748057,1.18854548061413,1.17179029407873,1.13887588472745,0.718333858536619,0.462796573386006,0.379954824605067,0.403808450045929,0.475861730829848,0.553148307748058,0.819059303700647,1.36946269683983,80
Chambers,Alabama,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,4.23255620446024,3.12162306547093,4.72832398663828,5.81749694942667,3.86433253279507,2.81779187565126,2.33110778320545,2.80485558204794,2.87745506902576,1.93062764286303,1.75057756224175,2.31789249092068,2.30615939319715,1.92597892172787,1.43254859139254,1.21737494602615,1.26484279917813,1.72821634211296,1.53298349341496,1.29816892232859,1.2968492594963,1.38550139201575,1.35961885096151,1.2387502843312,0.894474688991367,0.74900034376453,0.701429877175029,0.648762084900089,0.579841264779077,0.625190996104383,257
Cherokee,Alabama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,3.61068188129305,2.84960848504645,2.24234122820204,1.28854195561273,2.52688152355503,2.86018125452857,2.67961046740087,1.75031888971027,1.51110616698631,1.41630651612918,1.62305051546898,1.0121498403064,0.749662036982687,0.544607962152896,1.25933505065056,1.35801749316464,1.32946609229747,1.30878815212085,1.61708446027672,1.84672247184648,1.65951457990214,0.997681496368983,0.988906544335677,12
Chilton,Alabama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,15.1436897295353,8.53921306150593,3.74123414706193,2.6499649831662,2.4598844429477,2.12064736788703,1.87930559240305,1.35602740419286,1.01493447732153,1.00689542226717,1.25644421294466,1.23911412611475,1.08624475230377,1.07262964542628,1.29138577950876,1.36415126677552,1.58808865774314,1.18250343884417,1.20187215359881,1.1749179259622,1.30773473101784,1.02080172379559,0.848951259081589,0.799446789912455,1.10125371908317,0.952553722881523,43
