State,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,Total_Cases
Alabama,5,5,5,5,5,30,14.1034999406153,8.47851981100722,4.79701368230584,3.59451862128366,3.07309557150326,3.2889368030153,2.97468095888218,2.51057674428723,2.28689540309403,2.07145244281874,2.04212491215242,2.76979376862694,2.858167500626,2.44918326236627,2.04607945019383,1.8563235765604,1.76847317692482,1.5368969450461,1.29640654690725,1.2311490602457,1.41515627862249,1.34743700961991,1.38054343843491,1.3396196894651,1.40513506439037,1.50825220781295,1.54133049033708,1.29983593373721,1.32651850906788,1.3299987695541,1.28012303295499,1.1734225246556,1.11119924729028,0.970855918628669,0.932120040525094,0.912520576202808,0.838818816120214,0.837363989476199,5074
Arizona,4.95857142832992,4.28119659774461,2.84523067840908,3.47580971529299,2.51570998778606,1.70663125681595,1.47078310473403,1.35617373274925,1.8505526694516,1.91384080670301,1.96032980156828,3.23484163810468,3.6256063115983,4.16899073666378,4.04982389554317,3.94803302722838,3.60487849270127,2.90232312089472,2.55430991297457,2.4925944702115,2.1354283815627,1.94933305484804,1.93743180220572,1.69394300321913,1.53130528876506,1.46469606157391,1.34952506143947,1.40123793416075,1.40548584738999,1.24632524691426,1.15430485544641,1.13247428215955,1.19148963690487,1.08488251541394,1.08065174822411,0.981677083047554,0.957683947153382,0.954940326367324,0.968567578469729,0.961009609537933,1.11201895024925,1.04430412083663,1.07590978736594,1.04239173950537,5063
Arkansas,5,5,5,10,12.1149517836282,4.95857142832992,4.99472936403538,3.5730833018141,5.06926874243635,3.10161923564037,2.33274210120502,4.32395781975284,4.00552626412069,3.65845737253742,4.14365193922769,2.93769985706554,2.38336389919184,2.45555263864203,1.93673001571112,1.74027742865349,1.44728859280075,1.18416035248476,1.2624350716601,1.3031025227851,1.17436597987987,1.20407873468031,1.17458971001747,1.08322594967608,1.27777785340127,1.27155727724489,1.24077420568083,1.22851558190289,1.20083274540059,1.15078911295854,1.14579115419311,0.953736971674403,1.18145332796741,1.04897408674337,1.05632775927928,0.959041516549621,1.00946987514554,1.14707241568816,1.03841765170469,1.04824639228708,1927
California,2.63789045760421,3.14042749390919,2.62838796448823,2.80322888684407,2.19075884499747,2.06548775538799,2.12649397428124,2.20388035745843,1.97601597826096,2.08519308750302,1.94918423334377,1.98772511602819,2.00728885529329,1.81309191281278,1.74817363032484,1.8753254302718,1.78794242916134,1.77758787060758,1.93321439047118,1.94284005223335,1.90169981021713,1.72739600217166,1.62864791454604,1.64752758285848,1.65792175806189,1.53759273572587,1.46545111014249,1.40974808162251,1.39617605778996,1.32325032820834,1.22843257278956,1.17900332525091,1.121054544559,1.07141735437321,1.01458853103771,0.95576723716484,0.938566704917329,0.98206259476804,0.960189701126053,0.952044365707999,0.96993007999424,1.02962481745971,1.01478175941964,1.16710523152586,33826
Colorado,4.54620155134661,4.82044454099032,3.77061650260394,3.19025205745507,4.46708099337023,4.12900792855115,3.26233358166864,2.90688916669832,1.97500542957693,2.22019560764483,1.7462945518266,2.02984982040253,2.12114228182726,2.42271369012415,2.34916439143076,2.32705181198255,2.22726188913314,2.20458056016549,2.11257887805417,2.01730388313497,1.87814135359134,1.69757919049535,1.67462926357423,1.62800962320679,1.57296981243519,1.47534728573172,1.42859138368959,1.32699623114662,1.28635452827229,1.14272605429155,1.05447475205356,0.979815306233913,1.00926303838821,0.95633919600324,0.93712522871338,0.922852068344353,0.954893717875712,0.924663795238984,0.923892253749963,1.29846032553365,1.29474174403289,1.25337704579019,1.17821366033189,1.17613963645203,9980
Connecticut,5,10,9.08621383772119,5.91266904720197,5.06198843600678,4.62405536799632,6.67628352385325,4.52740877328391,3.98726057002595,4.17161274294374,3.69431881711209,3.96543653631163,3.0921215889246,2.31991630500083,2.63598021149835,2.51084573839024,2.80275652654336,2.9585600798273,2.34186229778139,2.30034110437675,2.16100765035375,2.21676564201861,2.11645687845238,2.10127645970737,1.75722349875754,1.56961220510791,1.79086842316483,1.60713453913747,1.38309655396003,1.54673072972416,1.46682304531374,1.50362488131277,1.55106284709694,1.31700886861667,1.34130909102383,1.26723733352384,1.2227452673765,1.11061940609639,1.04458413556839,1.0574312694604,1.08548213968433,1.03121831964207,1.00664884395457,1.09065459780287,19301
Delaware,5,5,5,5,25,6.93787174513106,4.41536859729414,3.20576115942779,2.53783611121243,3.92625686867743,4.05735415277024,2.58450040442764,2.50663247441202,2.16503288934178,2.15958676714405,2.81269903420411,2.34627408872601,1.92191794437492,1.5201017239833,1.89173827268232,2.19541155478652,1.86020188411922,1.55506017905648,1.66233462357835,1.704972128731,1.63596046197807,1.49341659759531,1.77994203186973,1.81483980390366,1.82244529191303,1.82513839665591,1.91116281405671,1.76076181910023,1.59710157710394,1.41447016067513,1.40015867443762,1.32110256389231,1.24306238398336,1.04849713343653,0.978361132009823,1.13411945441384,1.19072146497019,0.971765494036526,1.03805047073263,2714
District Of Columbia,15,10.8615123144339,4.33641244557212,5.75835170799698,3.37387897317822,2.2066177601111,2.70655406423868,1.99103515844248,1.91247228277688,2.40677575675932,2.07796513709994,3.46962092397924,2.73633497328595,2.39431869199461,2.23695931110448,2.06276640152311,2.21753183641479,2.26274124854425,1.83890343802544,1.77029898961598,1.63792435418108,1.67170419658417,1.84489376526424,1.78278325817185,1.34252360622037,1.31979619474393,1.45203772421117,1.65164761151341,1.56623987747189,1.39921030956123,1.32368189167833,1.6829204211024,1.53623638135148,1.41153853423901,1.24958474954995,1.17322777617821,0.998380800145918,1.07142748938497,0.950885192058987,1.03775694227314,1.02525098590824,1.107123387706,1.12672375098102,1.25719742099816,2927
Florida,4.94800120578147,4.05785154673255,4.6298319731243,5.47309455164043,3.59002909381435,2.57208477357665,2.75455879498924,2.09429809913687,2.23188518257051,2.72667832219953,3.10991159550322,2.95067764814982,3.31809749531119,2.63300640825368,2.61613699149178,2.39051756629936,2.03078254706239,2.256976735622,2.22137421908246,2.2428871052029,2.30177644544078,2.19295056662501,1.98696954864479,1.94306410501488,1.69991656851524,1.71546796243451,1.60894089632951,1.50138840904211,1.33002991720303,1.31362379648515,1.24343613786029,1.19389558390329,1.09740338531819,1.05011645254274,1.00064827750546,1.00940013590062,0.988040544000896,0.920007904862815,0.922594552136803,0.897731330667025,0.953775017358805,0.93003866526799,0.929333006321178,0.888591081518751,27053
Idaho,5,5,5,5,5,5,20,6.77378760015775,3.228335217547,3.47549135924563,5.09999166088224,6.24751728243851,4.42458287455901,3.26743585146435,2.50071280679819,2.00705157697874,2.3511528994555,3.06700706128692,3.26073087046333,2.78396961412232,2.21969492094544,2.08547127270014,2.35622428745277,2.31810799458597,2.16118495945346,2.27040455030486,2.01239547012318,1.71051039682653,1.41994348270949,1.22175656083408,1.04560188132035,0.85482257444006,0.704210508030429,0.618118681337202,0.578034721654676,0.626537266338664,0.603125436733356,0.592218170931485,0.91211991954376,0.695303147307988,0.736227650800428,0.795270954119843,0.794236110531452,0.953851345006527,1736
